store_name	code	product_ean	location
Naushahra Virkan	PK	0549792614465	Asia/Karachi
Mbalmayo	CM	6339088313356	Africa/Douala
San Juan de Aznalfarache	ES	3969263377809	Europe/Madrid
Patti	IN	4583643975165	Asia/Kolkata
Independence	US	4146270594774	America/Chicago
Novosilikatnyy	RU	8063558941760	Asia/Barnaul
Daud Khel	PK	9370600826524	Asia/Karachi
Thomasville	US	5061667572328	America/New_York
Perugia	IT	6408153956610	Europe/Rome
Paidha	UG	1459176421741	Africa/Kampala
Valence	FR	7594885779326	Europe/Paris
Muncar	ID	0557094530567	Asia/Jakarta
Santa Gertrudes	BR	2381568751831	America/Sao_Paulo
Bobigny	FR	7288708220613	Europe/Paris
Hutto	US	6223808735170	America/Chicago
Norco	US	5424773006499	America/Los_Angeles
Uran	IN	9318125402090	Asia/Kolkata
Loanda	BR	5815096615404	America/Sao_Paulo
Wheelers Hill	AU	8159039097030	Australia/Melbourne
Paredes	PT	8378759629813	Europe/Lisbon
Mokopane	ZA	1737840702526	Africa/Johannesburg
Saraktash	RU	4657166505366	Asia/Yekaterinburg
Ushuaia	AR	9274214669914	America/Argentina/Ushuaia
Toledo	US	7441426633350	America/New_York
Beryozovsky	RU	6417275067180	Asia/Yekaterinburg
Yashkino	RU	5562227761485	Asia/Novokuznetsk
Dahlem	DE	6733862814228	Europe/Berlin
American Canyon	US	3395140858374	America/Los_Angeles
Fujioka	JP	1197264330260	Asia/Tokyo
Robertsonpet	IN	6531937387901	Asia/Kolkata
Nakhon Pathom	TH	2186756087255	Asia/Bangkok
Bensheim	DE	4846407397444	Europe/Berlin
Puducherry	IN	9585616330365	Asia/Kolkata
Igbara-Odo	NG	9199576240284	Africa/Lagos
Ariccia	IT	2080467746596	Europe/Rome
East Haven	US	2665954247604	America/New_York
Ehingen	DE	9253639486580	Europe/Berlin
Sungurlu	TR	1964180690279	Europe/Istanbul
Manaoag	PH	8420299191616	Asia/Manila
Diwek	ID	9613899599770	Asia/Jakarta
Bar-le-Duc	FR	9791029398377	Europe/Paris
Yashkino	RU	6508622861930	Asia/Novokuznetsk
Nowshahr	IR	8421922495668	Asia/Tehran
Gauting	DE	0277564612059	Europe/Berlin
Zaozhuang	CN	9970580608020	Asia/Shanghai
Yao	JP	0147988209121	Asia/Tokyo
Punta Gorda Isles	US	0000738124191	America/New_York
Ulan Bator	MN	3850451650807	Asia/Ulaanbaatar
Lutsk	UA	9935788465981	Europe/Kiev
Sainte-Catherine	CA	3302375815560	America/Toronto
Losheim	DE	6844630005820	Europe/Berlin
Pointe-Claire	CA	4173758228517	America/Toronto
Paredes	PT	5937454184374	Europe/Lisbon
San Juan	US	3401248675147	America/Chicago
Lakewood	US	8406679730675	America/New_York
Muskogee	US	9315586642829	America/Chicago
Wacheng	CN	7740752465322	Asia/Shanghai
Gembloux	BE	6588679605695	Europe/Brussels
Gua Musang	MY	9627879100610	Asia/Kuala_Lumpur
Bibiani	GH	5478119165562	Africa/Accra
Shuangcheng	CN	8034672216225	Asia/Shanghai
Kampung Ayer Molek	MY	8570782660980	Asia/Kuala_Lumpur
Uran	IN	2434894596031	Asia/Kolkata
Artsyz	UA	3018617820932	Europe/Kiev
Marau	BR	8852056365808	America/Sao_Paulo
Barmbek-Nord	DE	7008587680168	Europe/Berlin
Guaraciaba do Norte	BR	1620779115393	America/Fortaleza
Glogovac	XK	2541443344002	Europe/Belgrade
Aguadilla	PR	1477113805355	America/Puerto_Rico
Recife	BR	7484775263595	America/Recife
Winsford	GB	1051434590086	Europe/London
Buenaventura	CO	5753805280003	America/Bogota
Maxixe	MZ	0389575668519	Africa/Maputo
Rwamagana	RW	6673842527970	Africa/Kigali
Bisceglie	IT	7611071534955	Europe/Rome
Talavera de la Reina	ES	5566833261223	Europe/Madrid
Fitchburg	US	8333000899421	America/New_York
Bad Segeberg	DE	0861850192549	Europe/Berlin
Hofheim am Taunus	DE	2581119221404	Europe/Berlin
Kirchlengern	DE	5090100869350	Europe/Berlin
Westchester	US	3865404774455	America/Chicago
Kidodi	TZ	0175551920166	Africa/Dar_es_Salaam
Volla	IT	1291430463018	Europe/Rome
High Wycombe	GB	9861216558690	Europe/London
Eppingen	DE	6783922054668	Europe/Berlin
Siegburg	DE	6264701393487	Europe/Berlin
Isfahan	IR	7341514257300	Asia/Tehran
Kudus	ID	4015089109045	Asia/Jakarta
Temara	MA	1195063040786	Africa/Casablanca
Resplendor	BR	6005357896133	America/Sao_Paulo
Greenpoint	US	4646792069830	America/New_York
Hueytown	US	4046321852382	America/Chicago
Saint-Omer	FR	1489874231991	Europe/Paris
Split	HR	4411583333151	Europe/Zagreb
Shreveport	US	3358217310632	America/Chicago
Strzelce Opolskie	PL	8178616654336	Europe/Warsaw
Gaya	NG	9641211292528	Africa/Lagos
Redding	US	6167663602737	America/Los_Angeles
Maryborough	AU	6374803510795	Australia/Brisbane
Kulai	MY	6580977933760	Asia/Kuala_Lumpur
Colomiers	FR	3609588779031	Europe/Paris
Naushahra Virkan	PK	2616290398703	Asia/Karachi
Aschaffenburg	DE	8769561567026	Europe/Berlin
Baza	ES	3911639968685	Europe/Madrid
Alytus	LT	6387374833484	Europe/Vilnius
Cuenca	EC	3851437883462	America/Guayaquil
Neuburg an der Donau	DE	2613369978361	Europe/Berlin
Oberhausen	DE	2210093768062	Europe/Berlin
Le Chesnay	FR	5380012542121	Europe/Paris
Lakewood	US	4943909546254	America/New_York
Volokolamsk	RU	6894798008652	Europe/Moscow
Burgos	PH	7511138016458	Asia/Manila
Palafrugell	ES	1244649066785	Europe/Madrid
Newburgh	US	8538587053635	America/New_York
Dombivli	IN	7099477448913	Asia/Kolkata
Lutz	US	0164300482710	America/New_York
Hutto	US	6526321079111	America/Chicago
Damnoen Saduak	TH	5490443404827	Asia/Bangkok
Watsonville	US	3064164676812	America/Los_Angeles
Fairview Heights	US	6261453599648	America/Chicago
Chosica	PE	6624361504782	America/Lima
Media Luna	CU	1184427223187	America/Havana
Lesozavodsk	RU	1826309203077	Asia/Vladivostok
Halstenbek	DE	5242532757433	Europe/Berlin
Denderleeuw	BE	4320183757055	Europe/Brussels
Corralillo	CU	6221620225749	America/Havana
Rolla	US	0784691165827	America/Chicago
Haldwani	IN	9206077989434	Asia/Kolkata
Tharu Shah	PK	0639606106788	Asia/Karachi
Villaquilambre	ES	8065966642017	Europe/Madrid
Foshan	CN	1896837745820	Asia/Shanghai
Yunguyo	PE	3502492127687	America/Lima
Schererville	US	6440309285014	America/Chicago
Hermsdorf	DE	6259275693248	Europe/Berlin
San Bernardo	CL	8287131402961	America/Santiago
New City	US	5456623711413	America/Chicago
Calangute	IN	8838661356134	Asia/Kolkata
Taozhuang	CN	4497583360335	Asia/Shanghai
Niort	FR	4978110921873	Europe/Paris
Huntley	US	2221552856244	America/Chicago
Walton-on-the-Naze	GB	7302943255442	Europe/London
Toledo	US	9771632262807	America/New_York
Boumerdas	DZ	9093441436232	Africa/Algiers
Kelowna	CA	6173909881422	America/Vancouver
Rosemount	US	4212992360987	America/Chicago
Beaconsfield	CA	8308593199708	America/Toronto
Chharra	IN	4068073527653	Asia/Kolkata
Leteri	IN	6569871564218	Asia/Kolkata
Columbia Heights	US	7394060232222	America/Chicago
Osmanabad	IN	2109952571182	Asia/Kolkata
Otegen Batyra	KZ	3712402299537	Asia/Almaty
Bergama	TR	1385592728402	Europe/Istanbul
Okahandja	NA	0758333715596	Africa/Windhoek
Pahrump	US	4953584893208	America/Los_Angeles
Phanat Nikhom	TH	0796913613238	Asia/Bangkok
Greenfield	US	4214445596950	America/Indiana/Indianapolis
Ngemplak	ID	7378748544814	Asia/Jakarta
Besuki	ID	1294973474824	Asia/Jakarta
Ozersk	RU	8466492794797	Asia/Yekaterinburg
Reus	ES	9332864872259	Europe/Madrid
Itabirito	BR	2989042135384	America/Sao_Paulo
Aykhal	RU	2396734815002	Asia/Yakutsk
Huntley	US	0535098083371	America/Chicago
Patnos	TR	7444042734746	Europe/Istanbul
Dyat’kovo	RU	6669724333821	Europe/Moscow
Altamira	BR	2052338272565	America/Santarem
Tadmur	SY	5463249566891	Asia/Damascus
Southsea	GB	9608527200388	Europe/London
Gorakhpur	IN	1799538308571	Asia/Kolkata
Aytos	BG	3381879086492	Europe/Sofia
Hudiksvall	SE	3839884641248	Europe/Stockholm
Pilar	PH	1934009238784	Asia/Manila
Hermsdorf	DE	1653325342721	Europe/Berlin
Olupona	NG	0614569658284	Africa/Lagos
