pct_input	user_id	pct_wild_mouse	pct_scroll_move	ack	screen_height	session_duration	mouse_move_total_rel_distance	pct_rage_click	total_load_time	session_id	session_start	pct_click	pct_mouse_move	wild_mouse_duration	pct_scrandom	page_activity_duration	scroll_move_total_rel_distance	pct_mouse_click	screen_width	browser_name	product_ean	pct_click_product_info	pct_scroll_move_duration	pct_doubleclick
1.81539	928	51.96310	66.86712	1.00000	1080	108.07618	6.80118	62.95682	5.13381	998445	2020-01-18 07:36:08	8.42525	7.30873	7.53122	63.40202	4.38606	7.61000	9.50177	1280	chrome	4022367910514	24.46045	9.78724	7.51547
1.78966	1222	58.09658	70.34753	1.00000	1024	153.26548	4.96735	67.10171	2.32757	1113992	2019-02-07 23:00:41	8.49853	6.39030	7.64781	53.88272	9.30753	7.12185	5.98340	lower	edge	0440056328404	55.68189	6.63739	10.13968
4.18199	1993	40.36769	68.05287	1.00000	1024	75.65295	6.25935	72.30186	4.33448	390051	2021-03-29 05:21:37	6.73771	9.19832	8.90153	63.35319	9.82437	6.91122	5.29545	800	edge	6166025930754	66.24526	6.42593	9.61589
3.52993	1172	50.27517	61.18361	1.00000	1024	126.37468	8.63384	69.46699	1.86762	494785	2021-08-25 03:15:27	4.64107	9.91234	8.63622	43.99103	11.39765	6.52317	3.25632	1920	mobile	7507616379535	54.41942	7.43744	10.06378
0.80125	1310	50.71797	53.58901	0.00000	800	144.89763	10.28759	63.66098	10.89872	1107243	2020-05-08 05:42:11	10.38039	6.68180	5.07727	47.96846	7.16321	7.52470	6.27721	1024	chrome	7734495886698	57.62510	9.29251	8.73035
1.13351	828	65.52123	59.64646	1.00000	800	224.15040	4.77442	47.53955	4.94004	276785	2023-09-06 22:12:43	6.10427	8.69339	6.66119	39.34340	7.22218	7.13832	10.11216	800	safari	3338772531628	60.44033	3.96280	7.31645
2.26257	1153	53.87606	65.25449	0.00000	768	91.62428	6.40596	64.99775	3.51029	1234978	2022-03-03 17:19:37	9.14515	8.75762	7.97841	67.01712	9.69155	6.04855	3.95156	1024	opera	3060320959508	29.08944	7.78267	12.15350
6.61523	910	41.67610	52.83701	0.00000	1080	238.27342	9.66524	76.05355	1.10808	349297	2020-03-14 08:38:50	10.93194	9.76166	9.36568	68.81279	4.28451	3.06061	6.05291	1024	chrome	2105960882524	51.54326	6.93006	12.90482
1.92116	1697	50.11281	62.67803	1.00000	600	94.30979	6.74777	72.66686	2.47262	667018	2023-01-29 21:45:49	10.41504	9.64262	7.25347	43.15221	4.95704	9.32791	9.69101	800	edge	2119654599131	52.65571	10.36046	6.30279
0.81754	374	35.52164	49.63619	1.00000	higher	112.10105	5.96071	75.12290	1.13189	579930	2021-02-08 05:47:56	5.23495	7.91784	6.83290	48.68983	6.98957	6.96914	9.14515	higher	other	7558226437252	45.36506	3.47316	6.34037
1.18591	803	39.86134	83.61637	0.00000	768	134.85951	11.00023	78.75402	2.16214	601679	2022-08-08 20:17:53	9.50165	9.40812	5.51726	53.64663	5.92222	6.66695	6.27680	lower	other	3899090941532	55.36998	10.34304	9.16396
